customerID,monthly_charges,total_charges,tenure,addon_count,churn_label
1024-GUALD,24.8,24.8,1,0,Yes
0484-JPBRU,25.25,996.45,41,1,No
3620-EHIMZ,19.35,1031.7,52,0,No
6910-HADCM,76.35,76.35,1,1,Yes
8587-XYZSF,50.55,3260.1,67,1,No
6818-WOBHJ,89.6,6127.6,68,3,Yes
3082-YVEKW,77.15,1759.4,23,5,No
4737-AQCPU,72.1,5016.65,72,5,No
4853-RULSV,104.0,7250.15,70,5,Yes
5766-ZJYBB,19.4,19.4,1,0,Yes
2668-TZSPS,20.45,20.45,1,0,No
3192-LNKRK,84.05,2909.95,34,2,No
5315-CKEQK,51.0,1381.8,28,1,No
5914-DVBWJ,85.45,1505.85,18,3,Yes
7998-ZLXWN,20.45,330.8,15,0,No
6328-ZPBGN,95.15,997.65,11,3,Yes
9530-EHPOH,53.75,608.0,11,2,Yes
1853-UDXBW,70.0,70.0,1,0,Yes
2672-TGEFF,88.8,3340.55,37,3,No
1902-XBTFB,89.4,2001.5,22,3,Yes
1640-PLFMP,70.25,70.25,1,0,No
3679-XASPY,19.45,19.45,1,0,No
7356-IWLFW,80.0,3769.7,46,2,No
9036-CSKBW,107.45,5680.9,51,6,No
8952-WCVCD,104.45,4162.05,41,5,No
2100-BDNSN,67.95,350.3,5,4,Yes
2869-ADAWR,89.3,4016.85,45,3,Yes
5832-EXGTT,60.2,1834.15,29,2,No
9402-ORRAH,91.5,1400.3,15,2,No
4967-WPNCF,63.7,4464.8,72,6,No
8033-VCZGH,103.95,5231.3,50,5,No
9392-XBGTD,20.6,581.85,27,0,No
0078-XZMHT,85.15,6316.2,72,6,No
0743-HNPFG,69.75,3562.5,51,4,No
5334-JLAXU,94.1,5475.9,60,4,No
5696-EXCYS,19.45,369.05,17,0,No
2569-WGERO,21.15,1419.4,72,0,No
5219-YIPTK,104.4,3409.6,33,5,Yes
5553-AOINX,104.9,6891.45,66,5,No
5502-RLUYV,103.95,7446.9,69,5,Yes
2058-DCJBE,69.75,324.6,5,0,Yes
2293-IJWPS,100.75,5985.0,57,4,No
7130-VTEWQ,75.75,606.25,8,1,Yes
0080-EMYVY,51.45,727.85,14,1,No
0148-DCDOS,94.7,2362.1,25,3,Yes
9170-ARBTB,19.6,1012.4,52,0,No
2070-FNEXE,76.45,503.6,7,1,Yes
5364-EVNIB,79.8,973.45,13,2,Yes
1112-CUNAO,89.85,1424.95,15,3,Yes
4576-CSAJH,55.15,1193.05,22,2,Yes
9967-ATRFS,19.9,367.55,19,0,No
1360-RCYRT,30.35,678.75,23,1,No
5038-ETMLM,113.65,8182.75,72,7,No
5663-QBGIS,98.35,6929.4,72,4,No
4194-WHFCB,96.65,5580.8,59,4,No
9481-WHGWY,75.35,5437.75,70,4,No
5453-YBTWV,101.1,6994.8,70,5,No
2018-PZKMU,103.1,970.45,9,4,No
9277-JOOMO,24.6,86.35,3,1,No
3629-ZNKXA,101.8,1752.45,17,4,No
0369-ZGOVK,70.4,1992.2,28,0,No
3604-WLABM,54.25,583.0,10,2,No
4063-EIKNQ,20.95,267.35,11,0,No
2878-RMWXY,102.65,7550.3,72,5,No
9540-JYROE,70.1,551.35,8,0,Yes
7515-LODFU,20.3,1356.3,69,0,No
1839-FBNFR,19.85,854.8,39,0,No
5397-NSKQG,50.9,3281.65,67,3,No
1755-FZQEC,19.9,791.15,39,0,No
2160-GPFXD,65.65,3566.7,54,4,No
4415-IJZTP,74.5,74.5,1,1,Yes
9880-TDQAC,60.0,4264.0,72,5,No
5138-WVKYJ,98.55,1008.55,10,4,Yes
8844-TONUD,96.65,1162.85,13,3,Yes
0080-OROZO,99.25,3532.0,35,4,No
0953-LGOVU,35.5,432.25,12,2,No
5325-UWTWJ,90.55,2929.75,31,4,No
1074-AMIOH,108.25,5935.1,53,5,No
5906-BFOZT,19.5,19.5,1,0,No
7026-YMSBE,19.7,625.05,30,0,No
