ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,member_casual,trip_duration_sec,start_lat,start_lng,end_lat,end_lng
20240618-00000,electric_bike,2024-06-18T11:49:00,2024-06-18T12:19:51,Bond St & Schermerhorn St,Lafayette St & E 8 St,member,1851,40.688176,-73.984107,40.730256,-73.991055
20240610-00001,electric_bike,2024-06-10T06:59:00,2024-06-10T07:17:18,Broadway & E 22 St,Pershing Square N,member,1098,40.740465,-73.989261,40.751994,-73.977609
20240601-00002,electric_bike,2024-06-01T16:22:00,2024-06-01T17:08:37,Bond St & Schermerhorn St,Pershing Square N,member,2797,40.68826,-73.984886,40.751719,-73.977033
20240620-00003,classic_bike,2024-06-20T10:46:00,2024-06-20T11:11:52,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,member,1552,40.687748,-73.98461,40.714788,-73.951236
20240611-00004,electric_bike,2024-06-11T14:48:00,2024-06-11T15:22:15,Lafayette St & E 8 St,Bond St & Schermerhorn St,member,2055,40.729785,-73.99062,40.687916,-73.985078
20240624-00005,electric_bike,2024-06-24T23:15:00,2024-06-25T00:01:15,Pershing Square N,Bond St & Schermerhorn St,casual,2775,40.752087,-73.977079,40.689051,-73.985023
20240612-00006,classic_bike,2024-06-12T08:02:00,2024-06-12T08:43:55,Pershing Square N,Pershing Square N,member,2515,40.751678,-73.977959,40.752095,-73.977816
20240622-00007,classic_bike,2024-06-22T21:34:00,2024-06-22T21:48:03,Pershing Square N,W 52 St & 5 Ave,casual,843,40.752569,-73.977222,40.75896,-73.978982
20240616-00008,electric_bike,2024-06-16T11:22:00,2024-06-16T11:48:49,Lafayette St & E 8 St,Bond St & Schermerhorn St,member,1609,40.730361,-73.991761,40.688213,-73.985055
20240605-00009,electric_bike,2024-06-05T00:49:00,2024-06-05T01:09:30,Bond St & Schermerhorn St,Broadway & E 22 St,casual,1230,40.688784,-73.984773,40.740372,-73.989442
20240604-00010,electric_bike,2024-06-04T22:17:00,2024-06-04T22:26:02,Lafayette St & E 8 St,Metropolitan Ave & Meeker Ave,casual,542,40.729865,-73.991795,40.714402,-73.951157
20240610-00011,electric_bike,2024-06-10T11:25:00,2024-06-10T12:00:02,Bond St & Schermerhorn St,W 52 St & 5 Ave,casual,2102,40.688052,-73.985103,40.758215,-73.979059
20240607-00012,electric_bike,2024-06-07T20:26:00,2024-06-07T21:10:25,Bond St & Schermerhorn St,Bond St & Schermerhorn St,casual,2665,40.688917,-73.984135,40.688688,-73.984594
20240626-00013,classic_bike,2024-06-26T21:51:00,2024-06-26T22:24:03,Metropolitan Ave & Meeker Ave,Bond St & Schermerhorn St,casual,1983,40.713509,-73.951716,40.688217,-73.985431
20240629-00014,electric_bike,2024-06-29T12:58:00,2024-06-29T13:03:32,Bond St & Schermerhorn St,Bond St & Schermerhorn St,member,332,40.68785,-73.984512,40.688284,-73.985283
20240605-00015,classic_bike,2024-06-05T15:16:00,2024-06-05T15:33:40,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,casual,1060,40.687737,-73.984994,40.71469,-73.951247
20240618-00016,electric_bike,2024-06-18T17:17:00,2024-06-18T18:04:55,Bond St & Schermerhorn St,Lafayette St & E 8 St,casual,2875,40.688182,-73.985182,40.730563,-73.991872
20240623-00017,electric_bike,2024-06-23T19:12:00,2024-06-23T20:01:03,Bond St & Schermerhorn St,W 52 St & 5 Ave,casual,2943,40.688042,-73.984809,40.758594,-73.979235
20240624-00018,classic_bike,2024-06-24T01:00:00,2024-06-24T01:36:15,Bond St & Schermerhorn St,W 52 St & 5 Ave,casual,2175,40.689002,-73.984959,40.758177,-73.978447
20240611-00019,classic_bike,2024-06-11T10:15:00,2024-06-11T10:38:15,W 52 St & 5 Ave,Broadway & E 22 St,member,1395,40.757835,-73.979056,40.74056,-73.989533
20240623-00020,electric_bike,2024-06-23T03:01:00,2024-06-23T03:57:15,Pershing Square N,Pershing Square N,casual,3375,40.751535,-73.97763,40.752331,-73.977419
20240604-00021,classic_bike,2024-06-04T05:09:00,2024-06-04T05:30:24,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,casual,1284,40.68877,-73.984611,40.714576,-73.951684
20240608-00022,electric_bike,2024-06-08T21:34:00,2024-06-08T22:12:05,Bond St & Schermerhorn St,W 52 St & 5 Ave,member,2285,40.688218,-73.984169,40.75806,-73.978436
20240615-00023,electric_bike,2024-06-15T08:58:00,2024-06-15T09:06:14,Bond St & Schermerhorn St,W 52 St & 5 Ave,casual,494,40.688605,-73.984395,40.758631,-73.978326
20240601-00024,electric_bike,2024-06-01T07:36:00,2024-06-01T07:56:36,Broadway & E 22 St,Bond St & Schermerhorn St,casual,1236,40.740332,-73.988902,40.688358,-73.985009
20240625-00025,classic_bike,2024-06-25T03:07:00,2024-06-25T03:24:27,Broadway & E 22 St,Lafayette St & E 8 St,casual,1047,40.740355,-73.98927,40.730584,-73.991702
