Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit
CA-2023-00000,2023-05-06,2023-05-08,Second Class,CUST-4811,Consumer,Canada,City-52,Ontario,46048,Canada,Furniture,Tables,PROD-76237,2138.50,10,0.00,-123.68
CA-2023-00001,2023-11-29,2023-12-05,Same Day,CUST-3615,Consumer,Canada,City-1150,Ontario,36062,Canada,Technology,Machines,PROD-65392,1427.00,10,0.00,344.57
CA-2023-00002,2023-06-22,2023-06-23,First Class,CUST-9785,Consumer,United Kingdom,City-319,Scotland,38221,EMEA,Furniture,Bookcases,PROD-26361,1823.04,6,0.00,416.34
CA-2023-00003,2023-11-18,2023-11-23,Second Class,CUST-4814,Home Office,United Kingdom,City-1131,England,48427,EMEA,Office Supplies,Appliances,PROD-23238,332.33,1,0.00,114.11
CA-2023-00004,2023-07-06,2023-07-08,First Class,CUST-5010,Consumer,United Kingdom,City-929,Scotland,93320,EMEA,Office Supplies,Paper,PROD-31417,613.04,2,0.00,86.05
CA-2023-00005,2023-12-19,2023-12-24,Second Class,CUST-2084,Corporate,United Kingdom,City-553,Scotland,93886,EMEA,Furniture,Tables,PROD-37653,1647.16,4,0.00,132.64
CA-2023-00006,2023-12-02,2023-12-06,First Class,CUST-8019,Consumer,Canada,City-645,Alberta,37869,Canada,Office Supplies,Storage,PROD-86484,304.99,3,0.20,43.47
CA-2023-00007,2023-09-18,2023-09-22,Standard Class,CUST-7304,Consumer,United Kingdom,City-450,Scotland,28131,EMEA,Furniture,Chairs,PROD-60019,1072.12,3,0.10,180.53
CA-2023-00008,2023-10-11,2023-10-18,Second Class,CUST-5808,Home Office,Canada,City-1084,Quebec,42953,Canada,Furniture,Tables,PROD-66985,2373.08,9,0.30,125.96
CA-2023-00009,2023-09-14,2023-09-21,First Class,CUST-3646,Consumer,United States,City-7,New York,44522,West,Furniture,Tables,PROD-80697,2757.96,9,0.00,188.26
CA-2023-00010,2023-01-10,2023-01-11,Second Class,CUST-8962,Consumer,Canada,City-664,Ontario,74042,Canada,Office Supplies,Paper,PROD-19071,1758.44,4,0.00,-108.07
CA-2023-00011,2023-09-01,2023-09-06,Same Day,CUST-6107,Home Office,Canada,City-263,Ontario,96474,Canada,Furniture,Bookcases,PROD-62296,1301.47,4,0.30,273.88
