customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-5694,Female,0,No,Yes,35,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,38.25,1361.52,Yes
0001-4863,Female,0,Yes,No,13,No,No phone service,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,55.67,714.91,No
0002-6723,Female,0,No,Yes,64,No,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.79,3476.17,Yes
0003-8678,Female,1,Yes,Yes,71,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),58.52,4192.87,No
0004-7997,Male,0,Yes,No,56,Yes,No,DSL,No,No internet service,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),75.46,4241.59,Yes
0005-5236,Female,1,Yes,Yes,8,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,Yes,One year,Yes,Mailed check,72.68,587.11,No
0006-9973,Male,1,No,No,32,No,No phone service,No,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),19.58,658.03,No
0007-6263,Male,1,Yes,Yes,58,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,113.65,6637.53,No
0008-4625,Female,1,No,Yes,25,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),84.56,2124.45,No
0009-2455,Male,0,No,Yes,47,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,63.23,2984.45,No
0010-4178,Male,0,No,No,43,No,Yes,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),77.55,3343.94,No
0011-1822,Female,1,No,Yes,14,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),101.36,1409.15,Yes
0012-1172,Female,0,Yes,Yes,63,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),63.97,4046.90,No
0013-1544,Male,0,No,No,49,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No,No,Two year,No,Mailed check,81.79,4035.45,No
0014-9624,Female,1,No,No,72,No,No,No,No,No internet service,No,No,No internet service,No,One year,No,Credit card (automatic),46.87,3379.73,No
0015-9622,Male,1,Yes,No,55,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),85.78,4726.58,No
0016-7470,Male,1,Yes,No,4,No,No,DSL,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,21.63,92.14,No
0017-9777,Female,1,Yes,No,44,Yes,Yes,No,Yes,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,21.92,972.89,No
0018-4877,Female,0,No,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),90.28,1104.16,No
0019-2741,Male,0,Yes,Yes,56,No,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),108.32,6052.96,No
0020-7292,Female,1,No,Yes,23,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),106.00,2466.06,No
0021-9809,Male,1,No,No,60,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),99.94,6007.98,No
0022-3969,Female,1,No,Yes,1,No,Yes,No,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.75,71.30,No
0023-4566,Male,1,No,Yes,6,No,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,111.38,661.04,No
0024-1320,Female,1,Yes,Yes,46,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,32.44,1480.97,No
0025-7036,Female,1,Yes,Yes,56,No,No,No,No,No internet service,No,No internet service,Yes,No,Two year,No,Electronic check,116.81,6573.66,No
0026-3191,Male,1,Yes,Yes,67,No,No,Fiber optic,No,No,No,No,No internet service,Yes,Two year,Yes,Mailed check,40.35,2716.75,No
0027-4534,Male,1,No,No,40,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),54.36,2189.85,Yes
0028-3843,Male,0,Yes,No,52,No,No,No,Yes,No,No,Yes,No,No,Two year,No,Mailed check,65.41,3430.27,Yes
0029-4826,Female,0,Yes,No,55,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,18.63,1019.82,No
0030-2531,Male,1,Yes,Yes,43,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Credit card (automatic),58.42,2541.07,Yes
